expenditure_date,payee_name,address,payee_type,amount,committee_name,expense_category,expense_purpose,expense_toward,expense_method,vendor,fundtype,comments,x14
6/24/2021,Vista Print,275 Wyman Street  Waltham  Massachusetts 02451,Business/Group/Organization,283.03,Harrison  Ingrid S. Friends of,Media,Graphic Design,NA,Debit Card,NA,Electoral,NA,NA
11/3/2021,Printing Specialist,9015 Junction Drive  Suite 5  Annapolis Junction  Maryland 20701,Business/Group/Organization,397.5,Harrison  Ingrid S. Friends of,Media,Billboards / Outdoor Advertising,NA,Debit Card,NA,Electoral,NA,NA
5/3/2021,NGP VAN,655 15th St NW  Suite 650  Washington  District Of Columbia 20005,Business/Group/Organization,1007,Jain  Ashwani Friends of,Media,Consulting Fees - Media,NA,EFT,NA,Electoral,NA,NA
6/2/2021,NGP VAN,655 15th St NW  Suite 650  Washington  District Of Columbia 20005,Business/Group/Organization,1007,Jain  Ashwani Friends of,Media,Consulting Fees - Media,NA,EFT,NA,Electoral,NA,NA
7/2/2021,NGP VAN,655 15th St NW  Suite 650  Washington  District Of Columbia 20005,Business/Group/Organization,1007,Jain  Ashwani Friends of,Media,Consulting Fees - Media,NA,EFT,NA,Electoral,NA,NA
8/2/2021,NGP VAN,655 15th St NW  Suite 650  Washington  District Of Columbia 20005,Business/Group/Organization,1007,Jain  Ashwani Friends of,Media,Consulting Fees - Media,NA,EFT,NA,Electoral,NA,NA
9/1/2021,NGP VAN,655 15th St NW  Suite 650  Washington  District Of Columbia 20005,Business/Group/Organization,1007,Jain  Ashwani Friends of,Media,Consulting Fees - Media,NA,EFT,NA,Electoral,NA,NA
10/1/2021,NGP VAN,655 15th St NW  Suite 650  Washington  District Of Columbia 20005,Business/Group/Organization,1007,Jain  Ashwani Friends of,Media,Consulting Fees - Media,NA,EFT,NA,Electoral,NA,NA
11/1/2021,NGP VAN,655 15th St NW  Suite 650  Washington  District Of Columbia 20005,Business/Group/Organization,1007,Jain  Ashwani Friends of,Media,Consulting Fees - Media,NA,EFT,NA,Electoral,NA,NA
12/2/2021,NGP VAN,655 15th St NW  Suite 650  Washington  District Of Columbia 20005,Business/Group/Organization,1007,Jain  Ashwani Friends of,Media,Consulting Fees - Media,NA,EFT,NA,Electoral,NA,NA
1/3/2022,NGP VAN,655 15th St NW  Suite 650  Washington  District Of Columbia 20005,Business/Group/Organization,1007,Jain  Ashwani Friends of,Media,Consulting Fees - Media,NA,EFT,NA,Electoral,NA,NA
3/15/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,50,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
3/28/2021,FACEBOOK,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,50,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
